주소,면적(㎡),위도,경도
경기도 고양시 덕양구 삼송동 삼송택지개발지구 B-5블럭,"84.63, 84.74, 84.96",37.6531791,126.8955135
경기도 고양시 덕양구 지축동 지축택지개발지구 B-2블록,"72.94, 72.95, 84.97, 84.98",37.64811400000001,126.913746
경기도 고양시 일산동구 풍동 655-18번지 일원(요진 Y-HAUS),"39.9, 40.0, 52.0, 60.0",37.6803065,126.7949751
경기도 광주시 쌍동리 252-7번지,"74.9, 84.9",37.37543060000001,127.2934704
경기도 김포시 고촌읍 신곡리 1072-2,"105.0, 63.0, 76.0, 84.0",37.6021656,126.7701728
경기도 김포시 김포한강신도시 Bc-04BL (김포시 장기동 1894-9),84.9,37.6426035,126.6787744
경기도 김포시 북변동 329-2,"59.0, 74.0, 84.0",37.6266926,126.707143
경기도 남양주시 금곡동 404-20,60.0,37.6366912,127.207995
경기도 남양주시 다산동 3473,84.0,37.6124747,127.1549535
경기도 남양주시 답내리 516-4 답내 사랑으로 부영아파트,148.0,37.6568037,127.342971
경기도 남양주시 별내동 999,84.0,37.6437883,127.1225933
경기도 남양주시 진건읍 퇴계원리 102-8,59.0,37.6537724,127.1438653
경기도 남양주시 화도읍 마석우리 256-1,59.0,37.6515667,127.3106593
경기도 남양주시 화도읍 마석우리 295-32,"84.0, 98.0",37.6537714,127.3060461
경기도 남양주시 화도읍 월산리 81 월산 사랑으로 부영아파트,148.0,37.6547247,127.3401053
경기도 동두천시 생연동 284,"49.0, 65.0, 74.0",37.9000932,127.064848
경기도 부천시 괴안동 117번지,"50.0, 60.0, 63.0, 65.0, 70.0",37.4819789,126.8124762
경기도 부천시 괴안동 91-1,"51.0, 59.0",37.4793185,126.8084995
경기도 부천시 소사본동 70-12일원,"60.0, 78.0",37.4817128,126.7945338
경기도 부천시 소사본동 70-7 외 6필지,"71.0, 74.0",37.4819894,126.7940667
경기도 부천시 여월동 9-28번지,"26.95, 59.93, 59.95, 59.96",37.517302,126.8022435
경기도 부천시 원미동 119-2,"39.0, 51.0, 54.0, 59.0, 60.0, 61.0",37.4920306,126.7892064
경기도 부천시 원종동 316 외 1필지,"70.0, 73.0, 74.0, 75.0, 76.0, 84.0",37.5231073,126.8083567
경기도 부천시 원종동 476번지,"48.74, 49.91, 52.89, 52.97",37.5269873,126.8041181
경기도 성남시 중원구 금광동 4863,"61.0, 62.0, 65.0, 66.0, 68.0",37.4475095,127.167266
경기도 성남시 중원구 하대원동 147-5,"35.14, 35.94, 46.87, 48.38, 50.18, 51.51, 51.55, 51.72, 52.99, 54.12, 55.51, 55.79, 56.94, 60.27, 60.96",37.4275951,127.1442912
경기도 수원시 권선구 권선동 1340,84.0,37.2434994,127.0184012
경기도 수원시 권선구 오목천동 319-1번지,84.0,37.2458141,126.9643556
경기도 시흥시 수인로 2365,"56.0, 71.0",37.4108054,126.8290946
경기도 안성시 공도읍 양기리 302-2번지,"148.93, 84.94, 84.96",37.0060957,127.1996815
경기도 안성시 공도읍 진사리 29-13번지 일원,"100.97, 74.98, 84.97, 84.98",36.9920826,127.1371196
경기도 안성시 공도읍 진사리 33번지 일원,"100.97, 74.98, 84.97, 84.98",36.9905475,127.1359561
경기도 안성시 신소현동 84번지,84.0,37.020581,127.257929
경기도 안성시 죽산면 790번지,"74.0, 84.0",37.0486763,127.4218358
경기도 안양시 동안구 호계동 533-3번지,"40.0, 42.0, 48.0, 49.0, 59.0, 74.0, 79.0, 84.0, 98.0",37.3739765,126.9532022
경기도 안양시 동안구 호계동 992-1번지,"36.0, 45.0, 59.0, 72.0, 84.0",37.3740945,126.9608981
경기도 양주시 옥정동 옥정지구B-10BL,84.0,37.8194982,127.1044777
경기도 양주시 옥정동 옥정지구B-5BL,84.0,37.8194982,127.1044777
경기도 양주시 옥정동 옥정지구B-6BL,"84.96, 84.97",37.8194982,127.1044777
경기도 양주시 옥정동 옥정지구B-7BL,"84.96, 84.97",37.8236363,127.0890726
경기도 양주시 옥정동 옥정지구B-8BL,84.0,37.8236363,127.0890726
경기도 양주시 옥정동 옥정지구D-1BL,"84.0, 84.565",37.8194982,127.1044777
경기도 양주시 옥정동 옥정지구D-2BL,"84.34, 84.68",37.8194982,127.1044777
경기도 양주시 옥정동 옥정지구D-3BL,84.46,37.8194982,127.1044777
경기도 양주시 화정동 194-1,"78.0, 84.0",37.3571977,126.8291074
경기도 양평군 덕평리 661-7,"59.0, 74.0",37.5007321,127.4812385
경기도 양평군 양서면 용담리 704 (에델바움),"45.0, 51.0, 58.0",37.5433887,127.3254871
경기도 양평군 양평읍 공흥리 418,"74.0, 84.0",37.489323,127.504398
경기도 여주군 교동 500-118번지,"136.0, 59.0, 84.0, 99.0",37.276928,127.628421
경기도 연천군 전곡읍 전곡리 85-12,"108.83, 109.71, 220.4, 84.94, 84.98",38.012476,127.0699133
경기도 오산시 양산동,"103.0, 59.0, 75.0, 84.0",37.18976749999999,127.0202533
경기도 오산시 탑동 110-1,"74.0, 84.0, 99.0",37.1351768,127.0498044
경기도 용인시 기흥구 마북동 212-1,"118.0, 130.0, 131.0, 132.0, 133.0, 139.0, 84.0",37.3032963,127.125632
경기도 용인시 기흥구 마북동 355-3번지,"59.0, 74.0, 84.0",37.2962256,127.1114622
경기도 용인시 기흥구 서천동 335-2번지,"100.0, 84.0",37.2468532,127.073448
경기도 용인시 기흥구 언남동 384-2번회 1필지,"41.0, 48.0, 49.0, 67.0",37.2938204,127.1169612
경기도 용인시 산42-4(공세지구 D3블럭),84.0,37.2361653,127.1891246
경기도 용인시 처인구 역북동 89-25번지,"59.0, 74.0, 84.0",37.2491194,127.1941166
경기도 용인시 처인구 이동읍 1267-8외 1,"19.0, 25.71, 40.86",37.1666241,127.2152553
경기도 용인시 처인구 포곡읍 전대리 192-2번지,"59.0, 74.0, 84.0",37.2847505,127.2192076
경기도 의정부시 금오동 369-1,"108.0, 110.0, 84.0",37.74604890000001,127.0560741
경기도 의정부시 신곡동 고산 공공주택지구 C2블럭(신곡동 1-2)(대광로제비앙),84.93,37.7529186,127.0810567
경기도 의정부시 용현동 산32외 51필지,"59.0, 74.0, 84.0",37.7367964,127.0764599
경기도 의정부시 의정부동 127-4,84.9,37.7346827,127.0489486
경기도 의정부시 의정부동 131-23번지,"20.0, 23.0, 28.0, 39.0, 41.0, 43.0",37.7377486,127.0501659
경기도 의정부시 의정부동 146-5,84.32,37.73779469999999,127.0513759
경기도 의정부시 의정부동 248-3,"112.0, 162.0, 165.0, 84.0",37.7425828,127.0408759
경기도 의정부시 의정부동 436-4번지 외 2필지(스카이파크),19.6,37.7377486,127.0501659
경기도 의정부시 의정부동 491-5,65.44,37.7376547,127.0395444
경기도 의정부시 의정부동 98-4 외 1필지(공간라움),66.69,37.734088,127.0490816
경기도 이천시 안흥동 226-2외 16필지 (롯데캐슬 페라즈 스카이),142.15,37.2746588,127.4616957
경기도 이천시 안흥동 27-1,84.98,37.2722056,127.4656284
경기도 파주시 문산읍 당동리 947일원,101.81,37.8655888,126.7738229
경기도 평택시 가재동 450-2,"113.0, 84.0",37.0448326,127.0741215
경기도 평택시 가재동l,"103.0, 84.0",37.0446132,127.0831388
경기도 평택시 가재지구 2bl,"103.0, 84.0",37.0402892,127.0737921
경기도 평택시 장안동,"59.0, 84.0",37.0584351,127.0859185
경기도 평택시 현덕면,"107.0, 84.0",36.9449799,126.9322677
경기도 평택시 현덕면 화양지구 2-1BL,"59.0, 84.0",36.9748222,126.906089
경기도 평택시 현덕면 화양지구 3BL,"59.0, 84.0",36.9748222,126.906089
경기도 평택시 현덕면 화양지구 4BL,"59.0, 74.0, 84.0",36.9748222,126.906089
경기도 평택시 현덕면 화양지구 5BL,"72.0, 76.0, 84.0",36.9748222,126.906089
경기도 평택시 현덕면 화양지구 7BL,"74.0, 84.0, 99.0",36.9748222,126.906089
경기도 평택시 현덕면 화양지구 9-1bl,84.0,36.9748222,126.906089
경기도 평택시 화양지구 9-2bl,"122.0, 74.0, 84.0",36.9748222,126.906089
경기도 포천시 군내면 용정리 475-1,"59.0, 84.0",37.8820365,127.2003612
경기도 하남시 망월동 미사지구 C1,195.0,37.563118,127.192932
경기도 화성시  새솔동 송산그린시티 EAA10BL 모아미래도,"84.99, 99.99",37.286886,126.8209242
경기도 화성시 반송동 동탄택지개발지구16-3블럭외 2,"159.0, 170.0, 173.0, 192.0, 201.0",37.2040251,127.066971
경기도 화성시 봉담읍 상리 25-52,"13.2, 13.25, 13.31, 13.78, 13.91",37.2187183,126.9481127
경기도 화성시 오산동 동탄2택지개발지구 16BL,"155.0, 97.0",37.12983699999999,126.9164599
경기도 화성시 오산동 동탄2택지개발지구 업무복합3BL,"84.61, 96.58",37.12983699999999,126.9164599
경기도 화성시 조암리 453-2번지,"59.9, 59.98, 79.92, 79.97",37.0833959,126.8104386
경기도 화성시 향남읍 상신지구 A1-1블럭,"61.0, 84.0",37.0987294,126.902601
